"Folder","key_v1","key_v2"
"AND_10YR_CN","Key present","KeyV2 Complete"
"AND_10YR_DenseFrac","Key present","KeyV2 Complete"
"AND_15YR_CN","Key present","KeyV2 Complete"
"ARC1","Key present","KeyV2 Complete"
"ARC2","Key present","KeyV2 Complete"
"archive_knb-lter-sgs.179.1_Burke_SoilCN_ESA","Key present","KeyV2 Complete"
"archive_knb-lter-sgs.180.1_Burke_SoilCN_ESA","Key present","KeyV2 Complete"
"Barre Woods Warming","Key present","KeyV2 Complete"
"BcCZO","Key present","KeyV2 Complete"
"BES","Key present","KeyV2 Complete"
"BNZ1","Key present","KeyV2 Complete"
"BNZ2","Key present","KeyV2 Complete"
"BNZ3","Key present","KeyV2 Complete"
"BNZ4","Key present","KeyV2 Complete"
"BOU_20YR_roots","Key present","KeyV2 Complete"
"BOU_20YR_soilchem","Key present","KeyV2 Complete"
"Calhoun","Key present","KeyV2 Complete"
"cap.557.9_151026011609313008","Key present","KeyV2 Complete"
"cap.survey_200","Key present","KeyV2 Complete"
"CDR_E120","Key present","KeyV2 Complete"
"CDR_E133","Key present","KeyV2 Complete"
"CDR_E141_BioCON","Key present","KeyV2 Complete"
"ChronicN_Metabolite","Key present","KeyV2 Complete"
"ChronicN_stocks","Key present","KeyV2 Complete"
"CWT_ws7and2_soilCN","Key present","KeyV2 Complete"
"CWTgradient_forestfloor","Key present","KeyV2 Complete"
"CWTgradient_litterfall","Key present","KeyV2 Complete"
"CWTgradient_roots","Key present","KeyV2 Complete"
"CWTgradient_roots_rehomoger","Key present","KeyV2 Complete"
"CWTgradient_soilpHcations","Key present","KeyV2 Complete"
"Eel River CZO","Key present","KeyV2 Complete"
"HBR_W1","Key present","KeyV2 Complete"
"HBR_W5","Key present","KeyV2 Complete"
"HBR_W6","Key present","KeyV2 Complete"
"JRB_CZO","Key present","KeyV2 Complete"
"jrn.210368003.22_151025712968038208","Key present","KeyV2 Complete"
"KBS_scaleup_synthesis","Key present","KeyV2 Complete"
"KNZ_all_homog","Key present","KeyV2 Complete"
"LUQ elevation gradient litterfall","Key present","KeyV2 Complete"
"LUQ elevation gradient soil C and N","Key present","KeyV2 Complete"
"LUQ Litterfall in tabonuco forest","Key present","KeyV2 Complete"
"Moreland_Tian_SSCZO","Key present","KeyV2 Complete"
"New England pastures","Key present","KeyV2 Complete"
"NutNetJoined","Key present","KeyV2 Complete"
"nwt_greenLakes1982_profile-FeAl","Key present","KeyV2 Complete"
"NWT_SnowFence_soils_2015","Key present","KeyV2 Complete"
"PNW_HJA_Forest reference stands","Key present","KeyV2 Complete"
"SCM_CZO","Key present","KeyV2 Complete"
"SEV_towerGradient","Key present","KeyV2 Complete"
"sev.134.265065_151026075960510582","Key present","KeyV2 Complete"
"sgs.102.17","Key present","KeyV2 Complete"
"Shale Hills CZO","Key present","KeyV2 Complete"
"Stacy_2015_ssCZO_Bull","Key present","KeyV2 Complete"
"Stacy_2015_ssCZO_Providence","Key present","KeyV2 Complete"
"SWaN_homog2","Key present","KeyV2 Complete"
"UMBS_DIRT_Bulk_Den_2004_2009","Key present","KeyV2 Complete"
"UMBS_DIRT_C_N_by_Plot_2004_2014","Key present","KeyV2 Complete"
"UMBS_DIRT_pH_2004_2014","Key present","KeyV2 Complete"
"WW_HF_DIRT_merged","Key present","KeyV2 Complete"
"cap.621.1_151025385897769213","Key present","0"
"cap.635.1_151026328482914101","Key present","0"
"luq.108.1115233_151025981661642905","Key present","0"
"luq.31.389550_151026267179089429","Key present","0"
"McCorkle_2016_ssCZO_Providence","Key present","0"
"McCorkle_ssCZO_Bull","Key present","0"
"nwt_Saddle_Walker1990","Key present","0"
"nwt_saddleNode_fractions","Key present","0"
"NWT_soilC","Key present","0"
"original_files","Key present","0"
"Prospect Hill Warming","Key present","0"
"raw_HF_DIRT_data","Key present","0"
"sgs-179.1_wwTemp","Key present","0"
"SIK_bulk_density","Key present","0"
"SIK_Soil_C","Key present","0"
"SSCZO","Key present","0"
"SWaN","Key present","0"
"UMBS_DIRT_Soil_Organic_Matter_2004_2009","Key present","0"
"and.3142.7_151026229825874005","0","0"
"Andrews DIRT","0","0"
"archive_knb-lter-sgs.131.17_Kelly_SoilHorizons","0","0"
"archive_knb-lter-sgs.163.17_Morgan_SoilTextureHorizons","0","0"
"archive_knb-lter-sgs.167.17_Kelly_PaleoPed","0","0"
"archive_knb-lter-sgs.168.17_Kelly_SoilTexture","0","0"
"archive_knb-lter-sgs.175.17_Kelly_PaleoPed2","0","0"
"archive_knb-lter-sgs.181.1_Burke_SoilCN_ESA","0","0"
"archive_knb-lter-sgs.534.1_Burke_DecompositionRates","0","0"
"archive_knb-lter-sgs.535.1_Burke_SoilResp","0","0"
"archive_knb-lter-sgs.537.1_Burke_Nmin_monthly","0","0"
"bnz.348.21_151025889734897889","0","0"
"bnz.517.12_151025927270097380","0","0"
"bnz.666.2_15102594609362903","0","0"
"Bousson DIRT","0","0"
"Burke_SGS","0","0"
"CDR_E054_OldFieldChronosequence","0","0"
"cdr.102.6_151026438449290525","0","0"
"Chronic N","0","0"
"Coweeta","0","0"
"glv_temp_ww","0","0"
"Harvard Forest","0","0"
"Hemlock Removal","0","0"
"HF DIRT","0","0"
"hfr.293.1_151026061818849748","0","0"
"Hubbard Brook Soil Carbon Files","0","0"
"Kelly_Soils_SGS","0","0"
"luq.98.711550_151025678461292302","0","0"
"Luquillo elevation gradient","0","0"
"McCorkle_2016_SSCZO","0","0"
"no_key_andWB_forSoilC","0","0"
"NutNet","0","0"
"nwt_SaddleSnowfence_pre","0","0"
"nwt.118.2_151026040778848264","0","0"
"nwt.141.2_151026022178671781","0","0"
"ReynoldsCrk","0","0"
"saddleNode_fraction_temp_ww","0","0"
"SCM_JRB_CZO_data","0","0"
"SEV","0","0"
"ShortGrassSteppe_Soil","0","0"
"SIK_DIRT","0","0"
"SIK_respiration","0","0"
"SOIL_CN","0","0"
"SOIL_ORGANIC_MATTER","0","0"
"SOIL_PROPERTIES_pH","0","0"
"Stacy_2015_SSCZO","0","0"
"UMBS_DIRT","0","0"
"UMBS_DIRT_pH_by_Treatment_by_Depth_2014","0","0"
"Wisconsin DIRT","0","0"
